objective/training/accuracy_reward,objective/training/accuracy_reward_std,objective/training/format_reward,objective/training/format_reward_std,objective/training/total_rewards,objective/training/total_rewards_std,objective/training/completion_length,objective/training/completion_length_std,elapsed/generation_time,elapsed/generation_episodes,elapsed/explore_epsilon,training/total_loss,training/pg_loss,training/kl_loss,training/kl,training/kl_std,elapsed/train_time,elapsed/policy_update,elapsed/reference_update,training/learning_rate,elapsed/step_time,step
0.546875,0.498046875,-0.1484375,0.228515625,0.400390625,0.60546875,205.0,156.0,93.5,1024.0,0.8984375,0.201171875,0.201171875,2.726912498474121e-06,0.0002727508544921875,0.00020885467529296875,42.0,8.0,0.0,4.6938657760620117e-07,154.0,1
0.5703125,0.49609375,-0.1494140625,0.228515625,0.421875,0.59765625,198.0,148.0,73.0,2048.0,0.8984375,0.2314453125,0.2314453125,7.200241088867188e-05,0.0072021484375,0.01318359375,33.25,16.0,0.0,5.923211574554443e-07,122.0,2
0.62890625,0.484375,-0.12890625,0.21875,0.5,0.5859375,206.0,134.0,67.5,3072.0,0.8984375,0.2578125,0.2578125,0.0006103515625,0.061279296875,0.1953125,35.0,24.0,0.0,6.631016731262207e-07,108.5,3
0.6015625,0.490234375,-0.07421875,0.177734375,0.52734375,0.55859375,249.0,133.0,75.5,4096.0,0.8984375,0.12109375,0.11962890625,0.0012969970703125,0.1298828125,0.26953125,37.25,32.0,0.0,7.152557373046875e-07,123.5,4
0.71875,0.44921875,-0.0615234375,0.1640625,0.65625,0.5078125,239.0,126.0,69.5,5120.0,0.8984375,0.0673828125,0.06591796875,0.00119781494140625,0.1201171875,0.2216796875,33.25,40.0,0.0,7.525086402893066e-07,116.0,5
0.578125,0.494140625,-0.05029296875,0.150390625,0.52734375,0.54296875,251.0,124.0,70.5,6144.0,0.8984375,0.0947265625,0.09326171875,0.0012664794921875,0.126953125,0.1513671875,33.75,48.0,0.0,7.860362529754639e-07,114.0,6
0.5859375,0.4921875,-0.06787109375,0.1708984375,0.51953125,0.53515625,242.0,146.0,72.0,7168.0,0.8984375,0.09423828125,0.091796875,0.0023345947265625,0.232421875,0.263671875,33.5,56.0,0.0,8.121132850646973e-07,111.0,7
0.69921875,0.458984375,-0.04541015625,0.1435546875,0.65234375,0.51171875,251.0,136.0,70.0,8192.0,0.8984375,0.11279296875,0.10791015625,0.004974365234375,0.498046875,1.0390625,35.0,64.0,0.0,8.381903171539307e-07,118.5,8
0.671875,0.46875,-0.0478515625,0.1474609375,0.625,0.515625,248.0,125.0,68.0,9216.0,0.8984375,0.11083984375,0.1064453125,0.004180908203125,0.416015625,0.5625,36.25,72.0,0.0,8.568167686462402e-07,110.5,9
0.76953125,0.421875,-0.0390625,0.1337890625,0.73046875,0.4609375,249.0,119.0,64.5,10240.0,0.89453125,0.0908203125,0.08740234375,0.0032196044921875,0.3203125,0.59765625,33.5,80.0,0.0,8.754432201385498e-07,104.5,10
