objective/training/accuracy_reward,objective/training/accuracy_reward_std,objective/training/format_reward,objective/training/format_reward_std,objective/training/total_rewards,objective/training/total_rewards_std,objective/training/completion_length,objective/training/completion_length_std,elapsed/generation_time,elapsed/generation_episodes,elapsed/explore_epsilon,training/total_loss,training/pg_loss,training/kl_loss,training/kl,training/kl_std,elapsed/train_time,elapsed/policy_update,elapsed/reference_update,training/learning_rate,elapsed/step_time,step
0.92578125,0.26171875,-0.01416015625,0.0830078125,0.91015625,0.271484375,286.0,79.5,68.0,1024.0,0.8984375,0.0031585693359375,0.0031585693359375,7.972121238708496e-07,8.0108642578125e-05,9.393692016601562e-05,94.0,8.0,0.0,5.066394805908203e-07,171.0,1
0.91015625,0.28515625,-0.00244140625,0.034912109375,0.91015625,0.28515625,286.0,85.5,70.5,2048.0,0.8984375,-9.441375732421875e-05,-9.441375732421875e-05,1.7210841178894043e-06,0.000171661376953125,0.00011587142944335938,82.0,16.0,0.0,6.407499313354492e-07,167.0,2
0.9140625,0.28125,0.0,0.0,0.9140625,0.28125,272.0,70.5,67.0,3072.0,0.8984375,-0.0010833740234375,-0.0010833740234375,4.887580871582031e-06,0.00048828125,0.0020294189453125,81.0,24.0,0.0,7.227063179016113e-07,157.0,3
0.83984375,0.3671875,-0.00341796875,0.041259765625,0.8359375,0.373046875,294.0,78.5,74.5,4096.0,0.8984375,0.01092529296875,0.01092529296875,6.020069122314453e-06,0.00060272216796875,0.000324249267578125,87.5,32.0,0.0,7.7858567237854e-07,178.0,4
0.921875,0.271484375,-0.00048828125,0.015625,0.91796875,0.271484375,274.0,77.5,70.0,5120.0,0.8984375,0.0135498046875,0.0135498046875,1.33514404296875e-05,0.00133514404296875,0.000621795654296875,86.0,40.0,0.0,8.195638656616211e-07,173.0,5
0.86328125,0.341796875,-0.00146484375,0.0269775390625,0.86328125,0.345703125,308.0,89.5,79.0,6144.0,0.8984375,0.004364013671875,0.004364013671875,1.537799835205078e-05,0.0015411376953125,0.000606536865234375,84.5,48.0,0.0,8.568167686462402e-07,176.0,6
0.8984375,0.302734375,-0.0009765625,0.0220947265625,0.8984375,0.3046875,302.0,111.5,74.0,7168.0,0.8984375,0.010498046875,0.01043701171875,2.3484230041503906e-05,0.002349853515625,0.0011444091796875,85.0,56.0,0.0,8.866190910339355e-07,179.0,7
0.93359375,0.25,-0.0009765625,0.0220947265625,0.9296875,0.255859375,308.0,95.5,79.0,8192.0,0.8984375,0.033935546875,0.03369140625,4.291534423828125e-05,0.004302978515625,0.002288818359375,82.0,64.0,0.0,9.126961231231689e-07,174.0,8
0.9453125,0.2294921875,-0.00146484375,0.0269775390625,0.94140625,0.23046875,320.0,87.5,77.0,9216.0,0.8984375,-0.002105712890625,-0.0021820068359375,6.723403930664062e-05,0.0067138671875,0.004180908203125,80.5,72.0,0.0,9.350478649139404e-07,175.0,9
0.9453125,0.2275390625,-0.0009765625,0.0220947265625,0.9453125,0.228515625,324.0,85.5,78.0,10240.0,0.8984375,-0.0133056640625,-0.01336669921875,7.2479248046875e-05,0.00726318359375,0.00994873046875,83.0,80.0,0.0,9.5367431640625e-07,173.0,10
