objective/training/accuracy_reward,objective/training/accuracy_reward_std,objective/training/format_reward,objective/training/format_reward_std,objective/training/total_rewards,objective/training/total_rewards_std,objective/training/completion_length,objective/training/completion_length_std,elapsed/generation_time,elapsed/generation_episodes,elapsed/explore_epsilon,training/pg_loss,training/total_loss,training/kl_loss,training/kl,training/kl_std,elapsed/train_time,elapsed/policy_update,elapsed/reference_update,training/learning_rate,elapsed/step_time,step
0.69921875,0.458984375,-0.0234375,0.10595703125,0.67578125,0.48828125,532.0,374.0,162.0,1024.0,0.8984375,0.0281982421875,0.0281982421875,9.08970832824707e-07,9.107589721679688e-05,0.00011014938354492188,114.0,8.0,0.0,3.594905138015747e-07,332.0,1
0.63671875,0.48046875,-0.03125,0.12109375,0.60546875,0.5078125,640.0,478.0,256.0,2048.0,0.8984375,-0.0230712890625,-0.0230712890625,1.3932585716247559e-06,0.0001392364501953125,0.00012969970703125,110.5,16.0,0.0,4.7497451305389404e-07,432.0,2
0.57421875,0.494140625,-0.02392578125,0.10693359375,0.55078125,0.52734375,648.0,628.0,237.0,3072.0,0.8984375,-0.058349609375,-0.058349609375,2.8461217880249023e-06,0.0002841949462890625,0.00021266937255859375,110.0,24.0,0.0,5.438923835754395e-07,498.0,3
0.6640625,0.47265625,-0.02490234375,0.10888671875,0.640625,0.50390625,600.0,418.0,221.0,4096.0,0.8984375,-0.025390625,-0.025390625,2.7120113372802734e-06,0.000270843505859375,0.00023746490478515625,98.0,32.0,0.0,5.923211574554443e-07,416.0,4
0.49609375,0.5,-0.037109375,0.130859375,0.4609375,0.52734375,704.0,568.0,280.0,5120.0,0.8984375,-0.04736328125,-0.04736328125,7.3015689849853516e-06,0.000732421875,0.0007171630859375,100.5,40.0,0.0,6.295740604400635e-07,494.0,5
0.640625,0.478515625,-0.02587890625,0.11083984375,0.6171875,0.515625,580.0,424.0,201.0,6144.0,0.8984375,-0.06396484375,-0.06396484375,1.5616416931152344e-05,0.00156402587890625,0.00106048583984375,97.0,48.0,0.0,6.593763828277588e-07,380.0,6
0.625,0.484375,-0.0234375,0.10595703125,0.6015625,0.50390625,528.0,352.0,180.0,7168.0,0.8984375,-0.04833984375,-0.04833984375,2.7418136596679688e-05,0.00274658203125,0.002227783203125,93.5,56.0,0.0,6.854534149169922e-07,372.0,7
0.6171875,0.486328125,-0.0107421875,0.07275390625,0.609375,0.498046875,568.0,390.0,174.0,8192.0,0.8984375,-0.0673828125,-0.0673828125,1.4185905456542969e-05,0.0014190673828125,0.00092315673828125,91.0,64.0,0.0,7.078051567077637e-07,300.0,8
0.490234375,0.5,-0.02880859375,0.11669921875,0.4609375,0.52734375,660.0,512.0,245.0,9216.0,0.8984375,-0.07080078125,-0.07080078125,4.7206878662109375e-05,0.004730224609375,0.0225830078125,99.0,72.0,0.0,7.301568984985352e-07,452.0,9
0.59375,0.490234375,-0.02490234375,0.10888671875,0.5703125,0.5234375,652.0,510.0,249.0,10240.0,0.8984375,-0.055908203125,-0.05517578125,0.00084686279296875,0.0849609375,0.91796875,99.5,80.0,0.0,7.450580596923828e-07,436.0,10
0.671875,0.46875,-0.02294921875,0.1044921875,0.6484375,0.5,640.0,456.0,245.0,11264.0,0.8984375,-0.055908203125,-0.0556640625,0.0002956390380859375,0.0296630859375,0.265625,96.0,88.0,0.0,7.636845111846924e-07,424.0,11
0.609375,0.48828125,-0.015625,0.0869140625,0.59375,0.5078125,612.0,402.0,235.0,12288.0,0.8984375,0.03369140625,0.033935546875,7.677078247070312e-05,0.0076904296875,0.009765625,93.5,96.0,0.0,7.748603820800781e-07,496.0,12
0.7421875,0.4375,-0.01513671875,0.0859375,0.7265625,0.4609375,584.0,410.0,208.0,13312.0,0.8984375,-0.0537109375,-0.053466796875,8.249282836914062e-05,0.00823974609375,0.007049560546875,98.0,104.0,0.0,7.897615432739258e-07,482.0,13
0.68359375,0.46484375,-0.0205078125,0.09912109375,0.6640625,0.5,540.0,360.0,164.0,14336.0,0.89453125,-0.033203125,-0.032958984375,0.0002346038818359375,0.0234375,0.049072265625,90.5,112.0,0.0,8.009374141693115e-07,310.0,14
0.64453125,0.478515625,-0.02734375,0.11376953125,0.6171875,0.50390625,656.0,400.0,228.0,15360.0,0.89453125,-0.02392578125,-0.02392578125,0.00013256072998046875,0.0133056640625,0.0111083984375,93.0,120.0,0.0,8.158385753631592e-07,368.0,15
0.64453125,0.478515625,-0.033203125,0.12451171875,0.61328125,0.515625,624.0,436.0,248.0,16384.0,0.89453125,-0.06103515625,-0.060546875,0.000492095947265625,0.04931640625,0.404296875,95.0,128.0,0.0,8.23289155960083e-07,426.0,16
0.65234375,0.4765625,-0.0302734375,0.119140625,0.62109375,0.50390625,588.0,360.0,192.0,17408.0,0.89453125,-0.037109375,-0.036865234375,0.00017642974853515625,0.0177001953125,0.08740234375,89.5,136.0,0.0,8.344650268554688e-07,306.0,17
0.66015625,0.47265625,-0.02294921875,0.1044921875,0.63671875,0.50390625,592.0,494.0,270.0,18432.0,0.89453125,-0.095703125,-0.095703125,0.00014209747314453125,0.0142822265625,0.00885009765625,101.0,144.0,0.0,8.456408977508545e-07,482.0,18
0.67578125,0.46875,-0.015625,0.0869140625,0.66015625,0.484375,532.0,388.0,177.0,19456.0,0.89453125,-0.0361328125,-0.035888671875,0.000278472900390625,0.0277099609375,0.080078125,91.0,152.0,0.0,8.530914783477783e-07,298.0,19
0.671875,0.470703125,-0.01708984375,0.0908203125,0.65234375,0.486328125,640.0,430.0,205.0,20480.0,0.890625,-0.007293701171875,-0.005889892578125,0.00139617919921875,0.1396484375,1.46875,92.5,160.0,0.0,8.642673492431641e-07,346.0,20
