step,loss/policy,loss/value,loss/kl_penalty,loss/total,policy/approxkl,policy/clipfrac,value/error,value/clipfrac,objective/kl,objective/rewards,objective/returns,step_time,policy/learning_rate,value/learning_rate
1,-3.9781843952368945e-05,0.02566964365541935,0.0,0.02566964365541935,-4.305158290662803e-05,0.00025394983822479844,0.5022321343421936,0.0602678582072258,0.0,0.3482142984867096,-0.3526785671710968,25.4916,1e-07,1e-06
2,-5.849202352692373e-06,0.02760416641831398,0.0,0.02760416641831398,-0.0002217610744992271,0.00027058919658884406,0.5416666865348816,0.06354166567325592,0.0,0.4000000059604645,-0.36666667461395264,28.2431,1e-07,1e-06
3,-4.450480264495127e-05,0.02734375,0.0,0.02734375,-2.581278567959089e-05,0.0004516601620707661,0.5333333611488342,0.06354166567325592,0.0,0.3333333432674408,-0.3916666805744171,27.8064,8.375234893767539e-07,2.3546349804879152e-06
4,-9.969075472326949e-05,0.02760416641831398,0.0,0.02760416641831398,-2.0345052689663135e-05,0.0005777994520030916,0.5375000238418579,0.0651041641831398,0.0,0.3333333432674408,-0.38749998807907104,28.0044,1.2689470740631731e-06,3.1470456462384807e-06
5,-6.027221752447076e-05,0.02500000037252903,0.0,0.02500000037252903,-6.256103370105848e-05,0.00036417643423192203,0.48750001192092896,0.0677083358168602,0.0,0.3916666805744171,-0.35208332538604736,28.1505,1.575046978753508e-06,3.70926996097583e-06
6,0.00014953613572288305,0.02695312537252903,0.0,0.02669270895421505,5.950927879894152e-05,0.0004353841068223119,0.5166666507720947,0.12812499701976776,0.0,0.3916666805744171,-0.3583333194255829,28.7203,1.8124765106232457e-06,4.1453650195120835e-06
7,0.00044759115553461015,0.02682291716337204,0.0,0.02630208246409893,-0.00013326009502634406,0.0014078776584938169,0.5104166865348816,0.16875000298023224,0.0,0.3166666626930237,-0.4000000059604645,28.6403,2.0064705634399267e-06,4.501680626726396e-06
8,0.0006510416860692203,0.02604166604578495,0.0,0.02526041679084301,7.578531949548051e-05,0.0024902343284338713,0.4791666567325592,0.22604165971279144,0.0,0.3583333194255829,-0.3791666626930237,28.328,2.170490198034929e-06,4.802941180064155e-06
9,0.0010009765392169356,0.02473958395421505,0.0,0.02369791641831398,-9.918212890625e-05,0.006282552145421505,0.44999998807907104,0.24583333730697632,0.0,0.3583333194255829,-0.3708333373069763,28.5645,2.312570468130261e-06,5.0639049414637446e-06
10,0.0017578124534338713,0.02421874925494194,0.0,0.02239583246409893,-5.6966146075865254e-05,0.009570312686264515,0.4312500059604645,0.2614583373069763,0.0,0.38333332538604736,-0.35208332538604736,28.9456,2.437894148126346e-06,5.294091292476961e-06
11,0.0019042969215661287,0.02473958395421505,0.0,0.02291666716337204,0.000152587890625,0.01341145858168602,0.4375,0.2708333432674408,0.0,0.36666667461395264,-0.38333332538604736,29.0106,2.5499999999999997e-06,5.499999999999999e-06
12,0.0022786457557231188,0.02578124962747097,0.0,0.02356770820915699,0.0004638671816792339,0.01627604104578495,0.44583332538604736,0.28333333134651184,0.0,0.3333333432674408,-0.38333332538604736,28.8935,2.651412078637651e-06,5.686267083212012e-06
13,0.0027669270057231188,0.02500000037252903,0.0,0.02226562425494194,0.0005208333604969084,0.01927083358168602,0.42500001192092896,0.2958333194255829,0.0,0.36666667461395264,-0.3791666626930237,28.7753,2.7439940528166807e-06,5.856315607214311e-06
14,0.0048828125,0.02330729179084301,0.0,0.01848958246409893,0.00103759765625,0.02708333358168602,0.38333332538604736,0.31458333134651184,0.0,0.3916666805744171,-0.36666667461395264,28.9214,2.8291612131517495e-06,6.012745085380764e-06
15,0.0052083334885537624,0.02526041679084301,0.0,0.02005208283662796,0.0006917317514307797,0.02916666679084301,0.4104166626930237,0.32083332538604736,0.0,0.36666667461395264,-0.3708333373069763,28.9469,2.9080136874116827e-06,6.15757616055207e-06
16,0.0054036458022892475,0.02473958395421505,0.0,0.01927083358168602,0.0014973958022892475,0.03203124925494194,0.39375001192092896,0.3291666805744171,0.0,0.3333333432674408,-0.3958333432674408,28.9587,2.981423584686419e-06,6.292410665750565e-06
