iteration,elapsed/total_time,elapsed/step_time,elapsed/total_episodes,accuracy,stats/correct_ratio,stats/skipped_ratio,episode/completion_tokens,usage/total_tokens,usage/prompt_tokens,usage/completion_tokens,episode/reasoning_length_mean,episode/reasoning_length_std,episode/reasoning_reward_mean,episode/reasoning_reward_std
1,627.4786,1.1884,528,0.7992424242424242,0.8178294573643411,0.022727272727272728,305.10271317829455,210600,53167,157433,305.10271317829455,106.58144205765034,0.8178294573643411,0.3859850204755212
2,739.0067,1.0264,720,0.4652777777777778,0.6504854368932039,0.2847222222222222,252.14368932038835,184144,54290,129854,252.14368932038835,120.9810975124666,0.6504854368932039,0.47681666632266695
3,749.0164,1.0403,720,0.4666666666666667,0.65625,0.28888888888888886,251.37109375,183350,54648,128702,251.37109375,118.59301706120269,0.65625,0.47495887979908324
4,855.3632,1.229,696,0.4511494252873563,0.6085271317829457,0.25862068965517243,271.218992248062,194953,55004,139949,271.218992248062,160.63609177385942,0.6085271317829457,0.4880797697784319
5,1021.6632,1.7028,600,0.48333333333333334,0.5609284332688588,0.13833333333333334,322.0715667311412,221161,54650,166511,322.0715667311412,256.6572813343806,0.5609284332688588,0.49627384176420397
6,1867.3565,3.4326,544,0.5275735294117647,0.5551257253384912,0.04963235294117647,518.5957446808511,321582,53468,268114,518.5957446808511,526.8051998502315,0.5551257253384912,0.4969518632683705
7,2485.5692,4.7075,528,0.4715909090909091,0.4816247582205029,0.020833333333333332,971.5106382978723,554960,52689,502271,971.5106382978723,780.9017962954281,0.4816247582205029,0.49966223640529905
8,2623.3355,5.0449,520,0.4846153846153846,0.48554913294797686,0.0019230769230769232,1058.610789980732,602056,52637,549419,1058.610789980732,805.1750529273751,0.48554913294797686,0.4997911288142725
9,2689.6739,5.1724,520,0.375,0.37572254335260113,0.0019230769230769232,1338.1483622350675,747038,52539,694499,1338.1483622350675,826.9041079880603,0.37572254335260113,0.484308903252102
10,2790.6506,5.3666,520,0.3173076923076923,0.3185328185328185,0.0038461538461538464,1517.1293436293436,838169,52296,785873,1517.1293436293436,774.9153800284187,0.3185328185328185,0.46590735350534773
11,2746.5156,5.2818,520,0.24615384615384617,0.2466281310211946,0.0019230769230769232,1620.0038535645472,893399,52617,840782,1620.0038535645472,735.8721327419792,0.2466281310211946,0.4310483685274625
