iteration,elapsed/total_time,elapsed/step_time,elapsed/total_episodes,accuracy,stats/correct_ratio,stats/skipped_ratio,episode/completion_tokens,usage/total_tokens,usage/prompt_tokens,usage/completion_tokens,episode/reasoning_length_mean,episode/reasoning_length_std,episode/reasoning_reward_mean,episode/reasoning_reward_std
1,2104.95,4.1112,512,0.515625,0.515625,0.0,624.26171875,382662,63040,319622,624.26171875,400.1703273336191,0.515625,0.49975579974123363
2,2135.9007,4.1717,512,0.49609375,0.49609375,0.0,652.392578125,395887,61862,334025,652.392578125,397.1697775643821,0.49609375,0.49998474097809975
3,2176.9691,4.1865,520,0.47692307692307695,0.47784200385356457,0.0019230769230769232,639.5260115606936,397769,65855,331914,639.5260115606936,400.4790950666977,0.47784200385356457,0.4995087819115641
4,2204.7802,4.3062,512,0.517578125,0.517578125,0.0,635.96875,390043,64427,325616,635.96875,418.392490811185,0.517578125,0.49969091398732113
5,2125.7891,4.1519,512,0.5078125,0.5078125,0.0,618.5,378153,61481,316672,618.5,403.9216305098676,0.5078125,0.4999389611180049
6,2074.6199,4.052,512,0.521484375,0.521484375,0.0,616.263671875,380811,65284,315527,616.263671875,399.59954907102605,0.521484375,0.4995382083793585
7,2078.5361,4.0596,512,0.482421875,0.482421875,0.0,620.876953125,381794,63905,317889,620.876953125,390.8993767583821,0.482421875,0.49969091398732113
8,2082.6495,4.0677,512,0.5078125,0.5078125,0.0,619.37890625,384021,66899,317122,619.37890625,389.63604434786794,0.5078125,0.4999389611180049
9,2160.9126,4.2205,512,0.5,0.5,0.0,637.08984375,391681,65491,326190,637.08984375,407.41892374814967,0.5,0.5
10,2019.1007,3.9436,512,0.484375,0.484375,0.0,625.33203125,388892,68722,320170,625.33203125,376.61329417454056,0.484375,0.49975579974123363
