step,loss/policy,loss/value,loss/total,policy/approxkl,policy/clipfrac,value/error,value/clipfrac,objective/kl,objective/rewards,objective/returns,step_time,policy/learning_rate,value/learning_rate
1,-0.06689453125,8.4375,2.59375,0.00021839141845703125,0.0003795623779296875,0.031005859375,8.249282836914062e-05,0.03662109375,0.56640625,0.71484375,56.8348,1e-07,5e-06
2,-0.091796875,9.1875,2.859375,8.881092071533203e-06,0.0003986358642578125,0.031982421875,8.440017700195312e-05,0.035400390625,0.4765625,0.72265625,62.6018,1e-07,5e-06
3,-0.0380859375,8.9375,2.734375,2.2649765014648438e-05,0.0003814697265625,0.031494140625,8.058547973632812e-05,0.04052734375,0.484375,0.72265625,62.5688,2.5946543812200213e-07,5.708735280542232e-06
4,-0.042236328125,9.25,2.8125,-4.076957702636719e-05,0.0002803802490234375,0.031005859375,0.0,0.028564453125,0.5234375,0.71484375,64.2252,3.5274673958444327e-07,6.123318842597526e-06
5,-0.0198974609375,9.5,2.859375,-5.507469177246094e-05,0.0003910064697265625,0.031494140625,4.1484832763671875e-05,0.037109375,0.5234375,0.72265625,64.3003,4.1893087624400426e-07,6.417470561084464e-06
6,-0.0203857421875,8.9375,2.703125,-2.3484230041503906e-05,0.00021076202392578125,0.033203125,7.009506225585938e-05,0.0283203125,0.46875,0.71875,64.3487,4.7026728093899894e-07,6.645632359728884e-06
7,-0.076171875,8.75,2.6875,-4.863739013671875e-05,0.0002040863037109375,0.0299072265625,5.340576171875e-05,0.0400390625,0.6015625,0.73046875,64.5798,5.122121777064453e-07,6.832054123139758e-06
8,-0.0947265625,8.75,2.71875,7.808208465576172e-06,0.0004291534423828125,0.0308837890625,2.6702880859375e-05,0.03515625,0.4609375,0.6953125,64.6215,5.476760826098749e-07,6.989671478266111e-06
9,0.052978515625,8.75,2.5625,0.00019550323486328125,0.000339508056640625,0.03173828125,2.765655517578125e-05,0.033447265625,0.4765625,0.7265625,64.3711,5.783963143660062e-07,7.126205841626695e-06
10,-0.0908203125,9.3125,2.890625,0.00019073486328125,0.000301361083984375,0.03125,7.867813110351562e-05,0.03271484375,0.484375,0.69140625,65.0124,6.054934791688865e-07,7.246637685195052e-06
11,-0.1474609375,8.5,2.703125,2.2292137145996094e-05,0.0003795623779296875,0.031005859375,1.1861324310302734e-05,0.033935546875,0.5390625,0.71875,64.7771,6.297327190610011e-07,7.354367640271116e-06
12,-0.0284423828125,9.1875,2.796875,-6.914138793945312e-05,0.00043487548828125,0.03125,0.0,0.038818359375,0.5625,0.734375,64.8517,6.516597787191036e-07,7.451821238751572e-06
